city_id,date_key,AQI,PM2.5,PM10,NO2,S02,CO,O3,NH3,AQI Category
6,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
41,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
71,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
126,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
181,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
211,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
212,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
213,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
262,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
264,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
271,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
282,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
301,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
329,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
337,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
386,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
387,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
399,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
405,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
463,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
473,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
476,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
481,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
487,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
488,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
502,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
519,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
561,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
582,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
605,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
610,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
657,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
661,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
702,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
729,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
737,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
738,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
748,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
752,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
784,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
807,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
811,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
812,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
825,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
830,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
844,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
873,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
880,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
882,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
883,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
889,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
907,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
915,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
964,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
989,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1011,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1038,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1074,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1100,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1114,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1172,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1176,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1181,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1197,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1209,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1247,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1250,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1265,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1288,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1294,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1306,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1309,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1314,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1350,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1356,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1381,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1382,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1415,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1425,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1438,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1439,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1445,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1487,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1489,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1504,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1524,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1535,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1536,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1564,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1595,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1605,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1621,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1642,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1651,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1691,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1704,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1772,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1775,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1794,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1836,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1862,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1863,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1931,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1956,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1962,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1969,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1971,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
1981,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2015,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2053,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2095,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2099,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2107,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2121,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2129,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2130,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2147,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2175,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2177,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2189,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2193,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2204,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2230,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2235,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
2243,14-10,34,8.24,17.3,12.46,1.51,0.34,0.04,11.75,Good
