country_id,country_name
1,United States
2,UAE
3,Nigeria
4,Ghana
5,Ethiopia
6,Australia
7,India
8,Egypt
9,Algeria
10,Jordan
11,Netherlands
12,Turkey
13,Greece
14,New Zealand
15,Iraq
16,Thailand
17,Spain
18,China
19,Lebanon
20,Brazil
21,Germany
22,United Kingdom
23,Colombia
24,Belgium
25,Romania
26,Hungary
27,Argentina
28,South Korea
29,Canada
30,South Africa
31,Venezuela
32,Morocco
33,Bangladesh
34,Sri Lanka
35,Denmark
36,Senegal
37,Tanzania
38,Qatar
39,Ireland
40,Mexico
41,Vietnam
42,Cuba
43,Finland
44,Iran
45,Pakistan
46,Indonesia
47,Saudi Arabia
48,Israel
49,Uganda
50,Taiwan
51,Nepal
52,Sudan
53,DR Congo
54,Poland
55,Malaysia
56,Kuwait
57,Peru
58,Portugal
59,Angola
60,France
61,Bahrain
62,Philippines
63,Italy
64,Kenya
65,Oman
66,Japan
67,Norway
68,Panama
69,Cambodia
70,Czech Republic
71,Ecuador
72,Costa Rica
73,Chile
74,Singapore
75,Sweden
76,Tunisia
77,Mongolia
78,Austria
79,Myanmar
80,Switzerland
