date_key,year,month,month_number
05-01,2005,January,1
05-02,2005,February,2
05-03,2005,March,3
05-04,2005,April,4
05-05,2005,May,5
05-06,2005,June,6
05-07,2005,July,7
05-08,2005,August,8
05-09,2005,September,9
05-10,2005,October,10
05-11,2005,November,11
05-12,2005,December,12
06-01,2006,January,1
06-02,2006,February,2
06-03,2006,March,3
06-04,2006,April,4
06-05,2006,May,5
06-06,2006,June,6
06-07,2006,July,7
06-08,2006,August,8
06-09,2006,September,9
06-10,2006,October,10
06-11,2006,November,11
06-12,2006,December,12
07-01,2007,January,1
07-02,2007,February,2
07-03,2007,March,3
07-04,2007,April,4
07-05,2007,May,5
07-06,2007,June,6
07-07,2007,July,7
07-08,2007,August,8
07-09,2007,September,9
07-10,2007,October,10
07-11,2007,November,11
07-12,2007,December,12
08-01,2008,January,1
08-02,2008,February,2
08-03,2008,March,3
08-04,2008,April,4
08-05,2008,May,5
08-06,2008,June,6
08-07,2008,July,7
08-08,2008,August,8
08-09,2008,September,9
08-10,2008,October,10
08-11,2008,November,11
08-12,2008,December,12
09-01,2009,January,1
09-02,2009,February,2
09-03,2009,March,3
09-04,2009,April,4
09-05,2009,May,5
09-06,2009,June,6
09-07,2009,July,7
09-08,2009,August,8
09-09,2009,September,9
09-10,2009,October,10
09-11,2009,November,11
09-12,2009,December,12
10-01,2010,January,1
10-02,2010,February,2
10-03,2010,March,3
10-04,2010,April,4
10-05,2010,May,5
10-06,2010,June,6
10-07,2010,July,7
10-08,2010,August,8
10-09,2010,September,9
10-10,2010,October,10
10-11,2010,November,11
10-12,2010,December,12
11-01,2011,January,1
11-02,2011,February,2
11-03,2011,March,3
11-04,2011,April,4
11-05,2011,May,5
11-06,2011,June,6
11-07,2011,July,7
11-08,2011,August,8
11-09,2011,September,9
11-10,2011,October,10
11-11,2011,November,11
11-12,2011,December,12
12-01,2012,January,1
12-02,2012,February,2
12-03,2012,March,3
12-04,2012,April,4
12-05,2012,May,5
12-06,2012,June,6
12-07,2012,July,7
12-08,2012,August,8
12-09,2012,September,9
12-10,2012,October,10
12-11,2012,November,11
12-12,2012,December,12
13-01,2013,January,1
13-02,2013,February,2
13-03,2013,March,3
13-04,2013,April,4
13-05,2013,May,5
13-06,2013,June,6
13-07,2013,July,7
13-08,2013,August,8
13-09,2013,September,9
13-10,2013,October,10
13-11,2013,November,11
13-12,2013,December,12
14-01,2014,January,1
14-02,2014,February,2
14-03,2014,March,3
14-04,2014,April,4
14-05,2014,May,5
14-06,2014,June,6
14-07,2014,July,7
14-08,2014,August,8
14-09,2014,September,9
14-10,2014,October,10
14-11,2014,November,11
14-12,2014,December,12
15-01,2015,January,1
15-02,2015,February,2
15-03,2015,March,3
15-04,2015,April,4
15-05,2015,May,5
15-06,2015,June,6
15-07,2015,July,7
15-08,2015,August,8
15-09,2015,September,9
15-10,2015,October,10
15-11,2015,November,11
15-12,2015,December,12
16-01,2016,January,1
16-02,2016,February,2
16-03,2016,March,3
16-04,2016,April,4
16-05,2016,May,5
16-06,2016,June,6
16-07,2016,July,7
16-08,2016,August,8
16-09,2016,September,9
16-10,2016,October,10
16-11,2016,November,11
16-12,2016,December,12
17-01,2017,January,1
17-02,2017,February,2
17-03,2017,March,3
17-04,2017,April,4
17-05,2017,May,5
17-06,2017,June,6
17-07,2017,July,7
17-08,2017,August,8
17-09,2017,September,9
17-10,2017,October,10
17-11,2017,November,11
17-12,2017,December,12
18-01,2018,January,1
18-02,2018,February,2
18-03,2018,March,3
18-04,2018,April,4
18-05,2018,May,5
18-06,2018,June,6
18-07,2018,July,7
18-08,2018,August,8
18-09,2018,September,9
18-10,2018,October,10
18-11,2018,November,11
18-12,2018,December,12
19-01,2019,January,1
19-02,2019,February,2
19-03,2019,March,3
19-04,2019,April,4
19-05,2019,May,5
19-06,2019,June,6
19-07,2019,July,7
19-08,2019,August,8
19-09,2019,September,9
19-10,2019,October,10
19-11,2019,November,11
19-12,2019,December,12
20-01,2020,January,1
20-02,2020,February,2
20-03,2020,March,3
20-04,2020,April,4
20-05,2020,May,5
20-06,2020,June,6
20-07,2020,July,7
20-08,2020,August,8
20-09,2020,September,9
20-10,2020,October,10
20-11,2020,November,11
20-12,2020,December,12
21-01,2021,January,1
21-02,2021,February,2
21-03,2021,March,3
21-04,2021,April,4
21-05,2021,May,5
21-06,2021,June,6
21-07,2021,July,7
21-08,2021,August,8
21-09,2021,September,9
21-10,2021,October,10
21-11,2021,November,11
21-12,2021,December,12
22-01,2022,January,1
22-02,2022,February,2
22-03,2022,March,3
22-04,2022,April,4
22-05,2022,May,5
22-06,2022,June,6
22-07,2022,July,7
22-08,2022,August,8
22-09,2022,September,9
22-10,2022,October,10
22-11,2022,November,11
22-12,2022,December,12
23-01,2023,January,1
23-02,2023,February,2
23-03,2023,March,3
23-04,2023,April,4
23-05,2023,May,5
23-06,2023,June,6
23-07,2023,July,7
23-08,2023,August,8
23-09,2023,September,9
23-10,2023,October,10
23-11,2023,November,11
23-12,2023,December,12
24-01,2024,January,1
24-02,2024,February,2
24-03,2024,March,3
24-04,2024,April,4
24-05,2024,May,5
24-06,2024,June,6
24-07,2024,July,7
24-08,2024,August,8
24-09,2024,September,9
24-10,2024,October,10
24-11,2024,November,11
24-12,2024,December,12
25-01,2025,January,1
25-02,2025,February,2
25-03,2025,March,3
25-04,2025,April,4
25-05,2025,May,5
25-06,2025,June,6
25-07,2025,July,7
25-08,2025,August,8
25-09,2025,September,9
25-10,2025,October,10
25-11,2025,November,11
25-12,2025,December,12
