city_id,year,Population,Population Density,Urbanization %,Vehicle Count,Industrial Area %
1,2015,191600,1437,82,111128,11
2,2015,194900,1461,82,113042,11
11,2015,191000,1432,82,110780,11
16,2015,188300,1412,82,109214,11
19,2015,204200,1531,82,118436,11
20,2015,197300,1479,82,114434,11
22,2015,192500,1443,82,111650,11
23,2015,206600,1549,82,119828,11
24,2015,205700,1542,82,119306,11
26,2015,191600,1437,82,111128,11
28,2015,185000,1387,82,107300,11
29,2015,196700,1475,82,114086,11
30,2015,207200,1554,82,120176,11
33,2015,188600,1414,82,109388,11
38,2015,203300,1524,82,117914,11
39,2015,203300,1524,82,117914,11
40,2015,207200,1554,82,120176,11
41,2015,190700,1430,82,110606,11
42,2015,208400,1563,82,120872,11
43,2015,186800,1401,82,108344,11
44,2015,198800,1491,82,115304,11
45,2015,206300,1547,82,119654,11
46,2015,187400,1405,82,108692,11
49,2015,199700,1497,82,115826,11
50,2015,213500,1601,82,123830,11
53,2015,190400,1428,82,110432,11
61,2015,204500,1533,82,118610,11
62,2015,199100,1493,82,115478,11
63,2015,196400,1473,82,113912,11
65,2015,211700,1587,82,122786,11
66,2015,200000,1500,82,116000,11
67,2015,197000,1477,82,114260,11
71,2015,189200,1419,82,109736,11
74,2015,197900,1484,82,114782,11
75,2015,189200,1419,82,109736,11
76,2015,198800,1491,82,115304,11
78,2015,191300,1434,82,110954,11
79,2015,199400,1495,82,115652,11
80,2015,207800,1558,82,120524,11
81,2015,212600,1594,82,123308,11
82,2015,207200,1554,82,120176,11
86,2015,204500,1533,82,118610,11
87,2015,203900,1529,82,118262,11
89,2015,213500,1601,82,123830,11
90,2015,195200,1464,82,113216,11
91,2015,187700,1407,82,108866,11
92,2015,190100,1425,82,110258,11
94,2015,188300,1412,82,109214,11
97,2015,194900,1461,82,113042,11
99,2015,190100,1425,82,110258,11
100,2015,200600,1504,82,116348,11
101,2015,201800,1513,82,117044,11
103,2015,185000,1387,82,107300,11
104,2015,185900,1394,82,107822,11
106,2015,198800,1491,82,115304,11
108,2015,210500,1578,82,122090,11
109,2015,203000,1522,82,117740,11
110,2015,201500,1511,82,116870,11
112,2015,214400,1608,82,124352,11
113,2015,190100,1425,82,110258,11
114,2015,204800,1536,82,118784,11
115,2015,207200,1554,82,120176,11
117,2015,203000,1522,82,117740,11
119,2015,193400,1450,82,112172,11
122,2015,214100,1605,82,124178,11
123,2015,196700,1475,82,114086,11
124,2015,202400,1518,82,117392,11
125,2015,201200,1509,82,116696,11
126,2015,203900,1529,82,118262,11
128,2015,212000,1590,82,122960,11
137,2015,191300,1434,82,110954,11
138,2015,202100,1515,82,117218,11
139,2015,199700,1497,82,115826,11
143,2015,190100,1425,82,110258,11
144,2015,204500,1533,82,118610,11
147,2015,189200,1419,82,109736,11
148,2015,186200,1396,82,107996,11
150,2015,205700,1542,82,119306,11
154,2015,194900,1461,82,113042,11
168,2015,189800,1423,82,110084,11
171,2015,205400,1540,82,119132,11
172,2015,214700,1610,82,124526,11
174,2015,186800,1401,82,108344,11
175,2015,208700,1565,82,121046,11
176,2015,197900,1484,82,114782,11
177,2015,202700,1520,82,117566,11
178,2015,198200,1486,82,114956,11
179,2015,196100,1470,82,113738,11
180,2015,198500,1488,82,115130,11
181,2015,201800,1513,82,117044,11
182,2015,201500,1511,82,116870,11
184,2015,190700,1430,82,110606,11
185,2015,202100,1515,82,117218,11
187,2015,211400,1585,82,122612,11
188,2015,202700,1520,82,117566,11
189,2015,206300,1547,82,119654,11
190,2015,194600,1459,82,112868,11
196,2015,206600,1549,82,119828,11
197,2015,213200,1599,82,123656,11
198,2015,188000,1410,82,109040,11
199,2015,209900,1574,82,121742,11
200,2015,200000,1500,82,116000,11
202,2015,190100,1425,82,110258,11
204,2015,197000,1477,82,114260,11
205,2015,197600,1482,82,114608,11
206,2015,212600,1594,82,123308,11
208,2015,198200,1486,82,114956,11
210,2015,202100,1515,82,117218,11
211,2015,207800,1558,82,120524,11
212,2015,190100,1425,82,110258,11
213,2015,188600,1414,82,109388,11
218,2015,193100,1448,82,111998,11
222,2015,206000,1545,82,119480,11
237,2015,200600,1504,82,116348,11
238,2015,207500,1556,82,120350,11
245,2015,205400,1540,82,119132,11
246,2015,213500,1601,82,123830,11
249,2015,193700,1452,82,112346,11
250,2015,189500,1421,82,109910,11
253,2015,192500,1443,82,111650,11
254,2015,211400,1585,82,122612,11
255,2015,208700,1565,82,121046,11
256,2015,194300,1457,82,112694,11
258,2015,188600,1414,82,109388,11
260,2015,199100,1493,82,115478,11
261,2015,198800,1491,82,115304,11
262,2015,185600,1392,82,107648,11
263,2015,209300,1569,82,121394,11
264,2015,200000,1500,82,116000,11
265,2015,187400,1405,82,108692,11
266,2015,212900,1596,82,123482,11
267,2015,207800,1558,82,120524,11
269,2015,211100,1583,82,122438,11
270,2015,185900,1394,82,107822,11
271,2015,209900,1574,82,121742,11
275,2015,213500,1601,82,123830,11
276,2015,190100,1425,82,110258,11
279,2015,195800,1468,82,113564,11
281,2015,190100,1425,82,110258,11
282,2015,213500,1601,82,123830,11
284,2015,198800,1491,82,115304,11
285,2015,202700,1520,82,117566,11
286,2015,203300,1524,82,117914,11
288,2015,208700,1565,82,121046,11
289,2015,214400,1608,82,124352,11
290,2015,194600,1459,82,112868,11
291,2015,197900,1484,82,114782,11
292,2015,186200,1396,82,107996,11
293,2015,185300,1389,82,107474,11
295,2015,187700,1407,82,108866,11
296,2015,198800,1491,82,115304,11
297,2015,211700,1587,82,122786,11
301,2015,185300,1389,82,107474,11
302,2015,207800,1558,82,120524,11
305,2015,214700,1610,82,124526,11
307,2015,191600,1437,82,111128,11
309,2015,211100,1583,82,122438,11
311,2015,209900,1574,82,121742,11
312,2015,212600,1594,82,123308,11
313,2015,204200,1531,82,118436,11
316,2015,206600,1549,82,119828,11
317,2015,212600,1594,82,123308,11
318,2015,202400,1518,82,117392,11
319,2015,191600,1437,82,111128,11
321,2015,197300,1479,82,114434,11
322,2015,187400,1405,82,108692,11
324,2015,190400,1428,82,110432,11
326,2015,192800,1446,82,111824,11
328,2015,195500,1466,82,113390,11
329,2015,194600,1459,82,112868,11
333,2015,189800,1423,82,110084,11
335,2015,200900,1506,82,116522,11
337,2015,190400,1428,82,110432,11
339,2015,187400,1405,82,108692,11
340,2015,205700,1542,82,119306,11
341,2015,188900,1416,82,109562,11
343,2015,192500,1443,82,111650,11
344,2015,196400,1473,82,113912,11
349,2015,196100,1470,82,113738,11
352,2015,214400,1608,82,124352,11
354,2015,186800,1401,82,108344,11
357,2015,190400,1428,82,110432,11
358,2015,199700,1497,82,115826,11
359,2015,188600,1414,82,109388,11
360,2015,197900,1484,82,114782,11
361,2015,203000,1522,82,117740,11
362,2015,210200,1576,82,121916,11
363,2015,187700,1407,82,108866,11
364,2015,211700,1587,82,122786,11
366,2015,193400,1450,82,112172,11
368,2015,199400,1495,82,115652,11
369,2015,185300,1389,82,107474,11
371,2015,207500,1556,82,120350,11
372,2015,189800,1423,82,110084,11
373,2015,203900,1529,82,118262,11
374,2015,195200,1464,82,113216,11
376,2015,197900,1484,82,114782,11
377,2015,189800,1423,82,110084,11
378,2015,193400,1450,82,112172,11
379,2015,207200,1554,82,120176,11
380,2015,197300,1479,82,114434,11
381,2015,190100,1425,82,110258,11
382,2015,206900,1551,82,120002,11
384,2015,189200,1419,82,109736,11
386,2015,201200,1509,82,116696,11
387,2015,207800,1558,82,120524,11
388,2015,194000,1455,82,112520,11
390,2015,208100,1560,82,120698,11
391,2015,206600,1549,82,119828,11
392,2015,197000,1477,82,114260,11
393,2015,214100,1605,82,124178,11
394,2015,214400,1608,82,124352,11
395,2015,196700,1475,82,114086,11
396,2015,187400,1405,82,108692,11
397,2015,205700,1542,82,119306,11
399,2015,195800,1468,82,113564,11
401,2015,197900,1484,82,114782,11
402,2015,192800,1446,82,111824,11
403,2015,189500,1421,82,109910,11
405,2015,198800,1491,82,115304,11
406,2015,194000,1455,82,112520,11
409,2015,212300,1592,82,123134,11
412,2015,200600,1504,82,116348,11
416,2015,207500,1556,82,120350,11
417,2015,187100,1403,82,108518,11
418,2015,193400,1450,82,112172,11
419,2015,204200,1531,82,118436,11
421,2015,212300,1592,82,123134,11
423,2015,198200,1486,82,114956,11
425,2015,212300,1592,82,123134,11
426,2015,189800,1423,82,110084,11
427,2015,185900,1394,82,107822,11
428,2015,198500,1488,82,115130,11
429,2015,202400,1518,82,117392,11
430,2015,207500,1556,82,120350,11
431,2015,201200,1509,82,116696,11
433,2015,203600,1527,82,118088,11
434,2015,203600,1527,82,118088,11
438,2015,213200,1599,82,123656,11
440,2015,189800,1423,82,110084,11
441,2015,206300,1547,82,119654,11
442,2015,214400,1608,82,124352,11
449,2015,185300,1389,82,107474,11
450,2015,185000,1387,82,107300,11
451,2015,193100,1448,82,111998,11
452,2015,211700,1587,82,122786,11
453,2015,195200,1464,82,113216,11
456,2015,194300,1457,82,112694,11
463,2015,191300,1434,82,110954,11
468,2015,194600,1459,82,112868,11
471,2015,199700,1497,82,115826,11
472,2015,198200,1486,82,114956,11
473,2015,208100,1560,82,120698,11
476,2015,198200,1486,82,114956,11
477,2015,192500,1443,82,111650,11
479,2015,185300,1389,82,107474,11
481,2015,193100,1448,82,111998,11
482,2015,190100,1425,82,110258,11
483,2015,188300,1412,82,109214,11
484,2015,192200,1441,82,111476,11
485,2015,188900,1416,82,109562,11
486,2015,189800,1423,82,110084,11
487,2015,214700,1610,82,124526,11
488,2015,201200,1509,82,116696,11
489,2015,203600,1527,82,118088,11
491,2015,202700,1520,82,117566,11
492,2015,187700,1407,82,108866,11
493,2015,203900,1529,82,118262,11
494,2015,207500,1556,82,120350,11
495,2015,185900,1394,82,107822,11
496,2015,203600,1527,82,118088,11
497,2015,210800,1581,82,122264,11
498,2015,213800,1603,82,124004,11
499,2015,188300,1412,82,109214,11
500,2015,200300,1502,82,116174,11
501,2015,203000,1522,82,117740,11
502,2015,190100,1425,82,110258,11
503,2015,185000,1387,82,107300,11
505,2015,214100,1605,82,124178,11
507,2015,191000,1432,82,110780,11
509,2015,196400,1473,82,113912,11
512,2015,200600,1504,82,116348,11
513,2015,195200,1464,82,113216,11
515,2015,199100,1493,82,115478,11
517,2015,211400,1585,82,122612,11
518,2015,207800,1558,82,120524,11
519,2015,189200,1419,82,109736,11
520,2015,197600,1482,82,114608,11
521,2015,193100,1448,82,111998,11
523,2015,187700,1407,82,108866,11
524,2015,211400,1585,82,122612,11
525,2015,210500,1578,82,122090,11
526,2015,198500,1488,82,115130,11
527,2015,208400,1563,82,120872,11
528,2015,203000,1522,82,117740,11
529,2015,206600,1549,82,119828,11
530,2015,186200,1396,82,107996,11
531,2015,210200,1576,82,121916,11
533,2015,203600,1527,82,118088,11
535,2015,208100,1560,82,120698,11
536,2015,194900,1461,82,113042,11
539,2015,199400,1495,82,115652,11
545,2015,198500,1488,82,115130,11
547,2015,209000,1567,82,121220,11
548,2015,187400,1405,82,108692,11
549,2015,200900,1506,82,116522,11
550,2015,204500,1533,82,118610,11
551,2015,186200,1396,82,107996,11
552,2015,188000,1410,82,109040,11
553,2015,202400,1518,82,117392,11
554,2015,209300,1569,82,121394,11
555,2015,196100,1470,82,113738,11
556,2015,203000,1522,82,117740,11
557,2015,213800,1603,82,124004,11
558,2015,210800,1581,82,122264,11
560,2015,207200,1554,82,120176,11
561,2015,189200,1419,82,109736,11
563,2015,203000,1522,82,117740,11
564,2015,189500,1421,82,109910,11
566,2015,193400,1450,82,112172,11
568,2015,201200,1509,82,116696,11
569,2015,192200,1441,82,111476,11
572,2015,211700,1587,82,122786,11
573,2015,190100,1425,82,110258,11
578,2015,206300,1547,82,119654,11
579,2015,201200,1509,82,116696,11
582,2015,192800,1446,82,111824,11
585,2015,200600,1504,82,116348,11
590,2015,188600,1414,82,109388,11
596,2015,185600,1392,82,107648,11
599,2015,209300,1569,82,121394,11
601,2015,208400,1563,82,120872,11
603,2015,204200,1531,82,118436,11
604,2015,201800,1513,82,117044,11
605,2015,212000,1590,82,122960,11
606,2015,200300,1502,82,116174,11
